,area,perimeter,red_mean,green_mean,blue_mean,f1,f2,red_std,green_std,blue_std,f4,f5,f6,f7,f8,label
0,15843.5,1340.849846,30.36727905,37.91157532,37.63031006,0.11,0.89,67.66256957,76.98643023,75.68440586,7167.043834,56.29864523,3.042049221,2.961546512,3.368769747,0
1,0.5,3.414213538,1.826248169,2.453872681,2.371414185,0.02,0.98,12.12386764,14.7096972,14.1581213,401.0405814,6.034884059,3.760257266,3.710262252,2.992627049,0
2,16372,1010.592927,22.95283508,24.02400208,22.5799408,0.06,0.94,39.56072989,41.98829329,39.17344658,906.7900964,20.90889706,2.990384584,2.922619881,3.726233308,0
3,25619.5,987.8650047,39.27268982,43.57281494,40.16452026,0.14,0.86,49.34649218,55.01738818,50.32532229,725.0496666,21.00002956,2.554625917,2.398319099,3.86986032,0
4,23456.5,1067.320848,34.06936646,35.69447327,34.30604553,0.08,0.92,46.87098594,49.57349918,47.24017048,1524.234348,34.5725295,2.595444572,2.52596969,3.675385344,0
5,25521.5,1131.997035,30.04248047,37.07019043,35.27061462,0.27,0.73,51.35415319,58.577513,56.2892663,4031.279511,55.70065984,2.485939428,2.381452127,3.379677224,0
6,672,144.0832602,14.03068542,17.42929077,15.65148926,0.16,0.84,35.09375811,40.10251571,36.88384718,2503.056417,32.95286951,3.078573464,2.960798086,3.153289178,0
7,28663,896.9259678,28.56259155,34.92498779,32.66123962,0.27,0.73,49.1194915,56.50262246,52.71797635,4281.089418,56.63771566,2.529911909,2.394336585,3.279198436,0
8,41184,875.1614687,56.99995422,72.99372864,57.22982788,0.37,0.63,46.4720741,57.48010897,45.80999197,892.3175598,31.36250589,1.695826271,1.448609537,3.83573628,0
9,165,59.65685415,30.93104553,38.19740295,36.16685486,0.25,0.75,50.81427433,59.22039431,56.30551384,5037.982601,64.93904286,2.533771312,2.479357179,3.233488122,0
10,18635,1022.735062,25.2756958,26.06208801,25.20628357,0.06,0.94,40.81656882,42.51433301,40.81431106,921.7666243,22.64899312,2.895524559,2.823775253,3.735123241,0
11,26810.5,917.4284935,18.85331726,26.11401367,24.50886536,0.19,0.81,37.3385573,47.44275277,43.87614537,3062.23477,43.13588926,2.819530255,2.68525081,3.247757757,0
12,18891,848.994947,27.06777954,28.32701111,26.61729431,0.07,0.93,42.87144895,45.09779697,42.11415506,460.6185048,11.07441915,3.044721297,2.81015205,3.880083076,0
13,7.5,11.41421354,14.75627136,17.46801758,17.51898193,0.09,0.91,36.12207778,38.92380984,38.67132307,2175.824322,29.44642746,3.074970049,2.89246248,3.260178798,0
14,18793,1183.161468,27.58369446,30.6421814,28.13679504,0.1,0.9,44.14514857,49.53467049,45.09922881,1241.417992,26.33242142,2.869851048,2.799010261,3.723290019,0
15,34555,1004.073157,39.64096069,46.71266174,41.01669312,0.31,0.69,52.287927,56.11090388,51.14797715,3915.322149,64.34091365,2.098012449,1.97464739,3.323676166,0
16,182.5,58.384776,8.886276245,10.960495,10.10800171,0.09,0.91,30.72515943,35.26900034,32.94665089,1319.188934,17.66549428,3.4494647,3.364373029,3.429880064,0
17,27376.5,1116.25692,27.48123169,35.51618958,32.77362061,0.27,0.73,45.93026339,55.56981726,51.25140758,4054.405615,57.30054642,2.497173904,2.359627803,3.280566443,0
18,18547.5,1398.506701,14.21922302,19.85150146,18.5453186,0.18,0.82,34.48919894,40.72066126,38.54385047,2375.992231,32.7037011,2.943289168,2.794348306,3.225066567,0
19,25344,1018.04877,33.96231079,42.03314209,36.41131592,0.19,0.81,44.33987952,54.80251828,47.12356922,1164.427227,30.04054468,2.513104752,2.413886567,3.775646103,0
20,35.5,23.07106769,22.45152283,29.16630554,27.78944397,0.25,0.75,44.70563204,52.24536673,49.1038101,3664.990423,47.01049644,2.632829963,2.378942724,3.278020201,0
